movie_title,views,item_id
Avatar ,898,0
Pirates of the Caribbean: At World's End ,2813,1
Spectre ,1494,2
The Dark Knight Rises ,4614,3
John Carter ,171,4
Spider-Man 3 ,1619,5
Tangled ,3212,6
Avengers: Age of Ultron ,194,7
Harry Potter and the Half-Blood Prince ,3840,8
Batman v Superman: Dawn of Justice ,4276,9
Superman Returns ,3668,10
Quantum of Solace ,2854,11
Pirates of the Caribbean: Dead Man's Chest ,2179,12
The Lone Ranger ,4560,13
Man of Steel ,2270,14
The Chronicles of Narnia: Prince Caspian ,229,15
The Avengers ,3687,16
Pirates of the Caribbean: On Stranger Tides ,3262,17
Men in Black 3 ,719,18
The Hobbit: The Battle of the Five Armies ,3928,19
The Amazing Spider-Man ,3293,20
Robin Hood ,4292,21
The Hobbit: The Desolation of Smaug ,3111,22
The Golden Compass ,3947,23
King Kong ,3522,24
Titanic ,2445,25
Captain America: Civil War ,1361,26
Battleship ,3823,27
Jurassic World ,509,28
Skyfall ,1408,29
Spider-Man 2 ,3956,30
Iron Man 3 ,603,31
Alice in Wonderland ,4769,32
X-Men: The Last Stand ,3559,33
Monsters University ,3213,34
Transformers: Revenge of the Fallen ,3206,35
Transformers: Age of Extinction ,3413,36
Oz the Great and Powerful ,1699,37
The Amazing Spider-Man 2 ,4128,38
TRON: Legacy ,408,39
Cars 2 ,1326,40
Green Lantern ,4812,41
Toy Story 3 ,1193,42
Terminator Salvation ,3693,43
Furious 7 ,1514,44
World War Z ,282,45
X-Men: Days of Future Past ,563,46
Star Trek Into Darkness ,211,47
Jack the Giant Slayer ,1928,48
The Great Gatsby ,3420,49
Prince of Persia: The Sands of Time ,4304,50
Pacific Rim ,1066,51
Transformers: Dark of the Moon ,1885,52
Indiana Jones and the Kingdom of the Crystal Skull ,4462,53
Brave ,4802,54
Star Trek Beyond ,1471,55
WALL·E ,4783,56
Rush Hour 3 ,604,57
2012 ,2775,58
A Christmas Carol ,2052,59
Jupiter Ascending ,3576,60
The Legend of Tarzan ,2430,61
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",1850,62
X-Men: Apocalypse ,4772,63
The Dark Knight ,4682,64
Up ,4597,65
Monsters vs. Aliens ,3257,66
Iron Man ,100,67
Hugo ,149,68
Wild Wild West ,3221,69
The Mummy: Tomb of the Dragon Emperor ,3642,70
Suicide Squad ,1569,71
Evan Almighty ,4180,72
Edge of Tomorrow ,3944,73
Waterworld ,1268,74
G.I. Joe: The Rise of Cobra ,4007,75
Inside Out ,2263,76
The Jungle Book ,2494,77
Iron Man 2 ,3163,78
Snow White and the Huntsman ,2631,79
Maleficent ,2305,80
Dawn of the Planet of the Apes ,2115,81
47 Ronin ,2052,82
Captain America: The Winter Soldier ,790,83
Shrek Forever After ,4395,84
Tomorrowland ,3994,85
Big Hero 6 ,1028,86
Wreck-It Ralph ,2220,87
The Polar Express ,1287,88
Independence Day: Resurgence ,4922,89
How to Train Your Dragon ,222,90
Terminator 3: Rise of the Machines ,4220,91
Guardians of the Galaxy ,4256,92
Interstellar ,2621,93
Inception ,4255,94
The Fast and the Furious ,3956,95
The Curious Case of Benjamin Button ,2608,96
X-Men: First Class ,754,97
The Hunger Games: Mockingjay - Part 2 ,3613,98
The Sorcerer's Apprentice ,1331,99
Poseidon ,4075,100
Alice Through the Looking Glass ,1808,101
Shrek the Third ,4659,102
Warcraft ,3758,103
Terminator Genisys ,859,104
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2841,105
Pearl Harbor ,3373,106
Transformers ,3550,107
Alexander ,488,108
Harry Potter and the Order of the Phoenix ,3211,109
Harry Potter and the Goblet of Fire ,1257,110
Hancock ,848,111
I Am Legend ,1757,112
Charlie and the Chocolate Factory ,4384,113
Ratatouille ,3121,114
Batman Begins ,1274,115
Madagascar: Escape 2 Africa ,4076,116
Night at the Museum: Battle of the Smithsonian ,401,117
X-Men Origins: Wolverine ,139,118
The Matrix Revolutions ,2689,119
Frozen ,2641,120
The Matrix Reloaded ,2770,121
Thor: The Dark World ,4264,122
Mad Max: Fury Road ,756,123
Angels & Demons ,2643,124
Thor ,4891,125
Bolt ,2183,126
G-Force ,4713,127
Wrath of the Titans ,2138,128
Dark Shadows ,2208,129
Mission: Impossible - Rogue Nation ,3699,130
The Wolfman ,2273,131
The Legend of Tarzan ,3899,132
Bee Movie ,4505,133
Kung Fu Panda 2 ,4653,134
The Last Airbender ,512,135
Mission: Impossible III ,2940,136
White House Down ,1382,137
Mars Needs Moms ,2621,138
Flushed Away ,2193,139
Pan ,3132,140
Mr. Peabody & Sherman ,2375,141
Troy ,1165,142
Madagascar 3: Europe's Most Wanted ,3794,143
Die Another Day ,2030,144
Ghostbusters ,4617,145
Armageddon ,1605,146
Men in Black II ,1468,147
Beowulf ,1786,148
Kung Fu Panda 3 ,3365,149
Mission: Impossible - Ghost Protocol ,3065,150
Rise of the Guardians ,2373,151
Fun with Dick and Jane ,1128,152
The Last Samurai ,1189,153
Exodus: Gods and Kings ,4414,154
Star Trek ,2308,155
Spider-Man ,987,156
How to Train Your Dragon 2 ,2564,157
Gods of Egypt ,3031,158
Stealth ,461,159
Watchmen ,1324,160
Lethal Weapon 4 ,4985,161
Hulk ,3438,162
G.I. Joe: Retaliation ,700,163
Sahara ,1321,164
Final Fantasy: The Spirits Within ,3527,165
Captain America: The First Avenger ,1060,166
The World Is Not Enough ,3159,167
Master and Commander: The Far Side of the World ,1700,168
The Twilight Saga: Breaking Dawn - Part 2 ,3761,169
Happy Feet 2 ,1491,170
The Incredible Hulk ,2418,171
The BFG ,1640,172
The Revenant ,305,173
Turbo ,461,174
Rango ,2899,175
Penguins of Madagascar ,2521,176
The Bourne Ultimatum ,2849,177
Kung Fu Panda ,579,178
Ant-Man ,4990,179
The Hunger Games: Catching Fire ,4117,180
The Twilight Saga: Breaking Dawn - Part 2 ,2212,181
Home ,2931,182
War of the Worlds ,2626,183
Bad Boys II ,1163,184
Puss in Boots ,4497,185
Salt ,4642,186
Noah ,2519,187
The Adventures of Tintin ,2380,188
Harry Potter and the Prisoner of Azkaban ,4463,189
Australia ,2834,190
After Earth ,2331,191
Dinosaur ,1467,192
Night at the Museum: Secret of the Tomb ,1896,193
Megamind ,3594,194
Harry Potter and the Sorcerer's Stone ,4367,195
R.I.P.D. ,974,196
Pirates of the Caribbean: The Curse of the Black Pearl ,299,197
The Hunger Games: Mockingjay - Part 1 ,1642,198
The Da Vinci Code ,708,199
Rio 2 ,3142,200
X-Men 2 ,4122,201
Fast Five ,4911,202
Sherlock Holmes: A Game of Shadows ,2454,203
Clash of the Titans ,4021,204
Total Recall ,1868,205
The 13th Warrior ,125,206
The Bourne Legacy ,2701,207
Batman & Robin ,199,208
How the Grinch Stole Christmas ,2270,209
The Day After Tomorrow ,1432,210
Mission: Impossible II ,1049,211
The Perfect Storm ,3453,212
Fantastic 4: Rise of the Silver Surfer ,1995,213
Life of Pi ,136,214
Ghost Rider ,1223,215
Jason Bourne ,3427,216
Charlie's Angels: Full Throttle ,2059,217
Prometheus ,4965,218
Stuart Little 2 ,262,219
Elysium ,3662,220
The Chronicles of Riddick ,930,221
RoboCop ,1055,222
Speed Racer ,382,223
How Do You Know ,3223,224
Knight and Day ,543,225
Oblivion ,3215,226
Star Wars: Episode III - Revenge of the Sith ,4733,227
Star Wars: Episode II - Attack of the Clones ,3045,228
"Monsters, Inc. ",4349,229
The Wolverine ,2901,230
Star Wars: Episode I - The Phantom Menace ,1718,231
The Croods ,1180,232
Windtalkers ,855,233
The Huntsman: Winter's War ,2438,234
Teenage Mutant Ninja Turtles ,2115,235
Gravity ,4452,236
Dante's Peak ,2444,237
Fantastic Four ,899,238
Night at the Museum ,3514,239
San Andreas ,1857,240
Tomorrow Never Dies ,4944,241
The Patriot ,1802,242
Ocean's Twelve ,3594,243
Mr. & Mrs. Smith ,3749,244
Insurgent ,3003,245
The Aviator ,2105,246
Gulliver's Travels ,2168,247
The Green Hornet ,1275,248
300: Rise of an Empire ,732,249
The Smurfs ,740,250
Home on the Range ,615,251
Allegiant ,865,252
Real Steel ,1713,253
The Smurfs 2 ,3055,254
Speed 2: Cruise Control ,1986,255
Ender's Game ,3492,256
Live Free or Die Hard ,380,257
The Lord of the Rings: The Fellowship of the Ring ,2294,258
Around the World in 80 Days ,1604,259
Ali ,4717,260
The Cat in the Hat ,3567,261
"I, Robot ",1107,262
Kingdom of Heaven ,2154,263
Stuart Little ,3496,264
The Princess and the Frog ,1245,265
The Martian ,464,266
The Island ,1487,267
Town & Country ,2105,268
Gone in Sixty Seconds ,2073,269
Gladiator ,2043,270
Minority Report ,1299,271
Harry Potter and the Chamber of Secrets ,4582,272
Casino Royale ,3676,273
Planet of the Apes ,4226,274
Terminator 2: Judgment Day ,4237,275
Public Enemies ,1455,276
American Gangster ,2771,277
True Lies ,3188,278
The Taking of Pelham 1 2 3 ,1569,279
Little Fockers ,4392,280
The Other Guys ,4209,281
Eraser ,3728,282
Django Unchained ,4689,283
The Hunchback of Notre Dame ,4363,284
The Emperor's New Groove ,4098,285
The Expendables 2 ,1665,286
National Treasure ,2040,287
Eragon ,3220,288
Where the Wild Things Are ,2905,289
Pan ,3728,290
Epic ,4466,291
The Tourist ,1025,292
End of Days ,4310,293
Blood Diamond ,4128,294
The Wolf of Wall Street ,2505,295
Batman Forever ,2001,296
Starship Troopers ,3223,297
Cloud Atlas ,1637,298
Legend of the Guardians: The Owls of Ga'Hoole ,4436,299
Catwoman ,4611,300
Hercules ,432,301
Treasure Planet ,957,302
Land of the Lost ,2825,303
The Expendables 3 ,1498,304
Point Break ,633,305
Son of the Mask ,3130,306
In the Heart of the Sea ,2276,307
The Adventures of Pluto Nash ,3732,308
Green Zone ,3929,309
The Peanuts Movie ,3642,310
The Spanish Prisoner ,4743,311
The Mummy Returns ,3984,312
Gangs of New York ,3959,313
The Flowers of War ,2093,314
Surf's Up ,3895,315
The Stepford Wives ,956,316
Black Hawk Down ,1616,317
The Campaign ,2267,318
The Fifth Element ,711,319
Sex and the City 2 ,1249,320
The Road to El Dorado ,2397,321
Ice Age: Continental Drift ,751,322
Cinderella ,4195,323
The Lovely Bones ,4164,324
Finding Nemo ,2280,325
The Lord of the Rings: The Return of the King ,217,326
The Lord of the Rings: The Two Towers ,4038,327
Seventh Son ,3088,328
Lara Croft: Tomb Raider ,4343,329
Transcendence ,1620,330
Jurassic Park III ,1963,331
Rise of the Planet of the Apes ,3041,332
The Spiderwick Chronicles ,387,333
A Good Day to Die Hard ,2224,334
The Alamo ,1642,335
The Incredibles ,1385,336
Cutthroat Island ,4312,337
Percy Jackson & the Olympians: The Lightning Thief ,4117,338
Men in Black ,3148,339
Toy Story 2 ,3408,340
Unstoppable ,466,341
Rush Hour 2 ,1474,342
What Lies Beneath ,3691,343
Cloudy with a Chance of Meatballs ,102,344
Ice Age: Dawn of the Dinosaurs ,2482,345
The Secret Life of Walter Mitty ,1376,346
Charlie's Angels ,559,347
The Departed ,1886,348
Mulan ,4085,349
Tropic Thunder ,3360,350
The Girl with the Dragon Tattoo ,3943,351
Die Hard with a Vengeance ,4540,352
Sherlock Holmes ,1631,353
Atlantis: The Lost Empire ,494,354
Alvin and the Chipmunks: The Road Chip ,4348,355
Valkyrie ,548,356
You Don't Mess with the Zohan ,1308,357
Pixels ,592,358
A.I. Artificial Intelligence ,4165,359
The Haunted Mansion ,889,360
Contact ,1956,361
Hollow Man ,199,362
The Interpreter ,4997,363
Percy Jackson: Sea of Monsters ,1899,364
Lara Croft Tomb Raider: The Cradle of Life ,4944,365
Now You See Me 2 ,1432,366
The Saint ,153,367
Spy Game ,1169,368
Mission to Mars ,1303,369
Rio ,3736,370
Bicentennial Man ,4213,371
Volcano ,3825,372
The Devil's Own ,4112,373
K-19: The Widowmaker ,2002,374
Fantastic Four ,2397,375
Conan the Barbarian ,3145,376
Cinderella Man ,4340,377
The Nutcracker in 3D ,3994,378
Seabiscuit ,3849,379
Twister ,4897,380
The Fast and the Furious ,1419,381
Cast Away ,1551,382
Happy Feet ,1733,383
The Bourne Supremacy ,2191,384
Air Force One ,4548,385
Ocean's Eleven ,1784,386
The Three Musketeers ,2862,387
Hotel Transylvania ,2301,388
Enchanted ,2780,389
Safe House ,4000,390
102 Dalmatians ,1842,391
Tower Heist ,3464,392
The Holiday ,2914,393
Enemy of the State ,1780,394
It's Complicated ,3586,395
Ocean's Thirteen ,4425,396
Open Season ,4352,397
Divergent ,2267,398
Enemy at the Gates ,1966,399
The Rundown ,791,400
Last Action Hero ,4637,401
Memoirs of a Geisha ,621,402
The Fast and the Furious: Tokyo Drift ,4102,403
Arthur Christmas ,794,404
Meet Joe Black ,4070,405
Collateral Damage ,1051,406
Mirror Mirror ,3253,407
Scott Pilgrim vs. the World ,2279,408
The Core ,3762,409
Nutty Professor II: The Klumps ,2220,410
Scooby-Doo ,2216,411
Dredd ,2095,412
Click ,2542,413
Cats & Dogs: The Revenge of Kitty Galore ,2913,414
Jumper ,1648,415
Hellboy II: The Golden Army ,3484,416
Zodiac ,718,417
The 6th Day ,4995,418
Bruce Almighty ,1269,419
The Expendables ,2345,420
Mission: Impossible ,3422,421
The Hunger Games ,3518,422
The Hangover Part II ,2542,423
Batman Returns ,4602,424
Over the Hedge ,4275,425
Lilo & Stitch ,1088,426
Deep Impact ,919,427
RED 2 ,1204,428
The Longest Yard ,4377,429
Alvin and the Chipmunks: Chipwrecked ,2627,430
Grown Ups 2 ,2271,431
Get Smart ,4620,432
Something's Gotta Give ,3028,433
Shutter Island ,3224,434
Four Christmases ,2494,435
Robots ,1461,436
Face/Off ,3341,437
Bedtime Stories ,1915,438
Road to Perdition ,1651,439
Just Go with It ,4558,440
Con Air ,3792,441
Eagle Eye ,2237,442
Cold Mountain ,243,443
The Book of Eli ,4427,444
Flubber ,4484,445
The Haunting ,4554,446
Space Jam ,2761,447
The Pink Panther ,3234,448
The Day the Earth Stood Still ,3565,449
Conspiracy Theory ,4955,450
Fury ,1478,451
